Telegram Handle,Impact Hours
santigs67,34.735
zeptimusq,18.084
cranders71,17.608
manualzuru,14.751
jessicazartler,13.443
elihanover,12.309
dulcedu,11.442
daithic,9.719
akrtws,8.630
juankbell,8.286
hbesso31,8.119
ygg_anderson,7.615
tonga2020,7.503
jonassft,7.385
sembrestels,6.711
rubenrussel7,6.227
quartagiulio,6.150
abchewey,5.001
blairv,4.189
solsista,3.936
anjablaj,3.082
fabimol,3.076
xgabi,2.954
tylerdmace,2.954
mateodaza,2.954
randomshinichi,2.830
fabianvb,2.706
paulo_c2d,2.537
vitormarthendal,2.171
lkngtn,1.723
sgonzt,1.679
orishim,1.601
markop,1.509
shrutiappiah1,1.485
jamessimbouras,1.485
crypt0dawg,1.485
vivszaid,1.478
geleeroyale,1.085
viken33,0.987
atacas,0.984
lescanor,0.934
jakubgregus,0.934
vntrp,0.861
positonic,0.861
mzargham,0.861
lescanore,0.861
jakublanc,0.861
felixfalafel,0.861
aidanbrodieo,0.861
simunstrukan,0.739
danibelle,0.739
supernova_labs,0.739
fenjamin,0.736
iviangita,0.729
tam2140,0.688
staccop2p,0.619
hanna_nevermind,0.614
anthonyoliai,0.614
xlcrr,0.492
danlessa,0.492
burrrata,0.492
benjaminscholtz,0.492
davidhq,0.490
gfriis,0.451
jeffemmett,0.450
krisjones,0.295
lbagic,0.246
wunluv,0.123
unquale,0.123
tokenbrice,0.123
sepu85,0.123
scupytrooples,0.123
proofoftom,0.123
phil_h,0.123
paulsalis,0.123
nikoline_nik,0.123
nelsonm,0.123
morgangr,0.123
misterboyfriend,0.123
merlinegalite,0.123
loie_giveth,0.123
krrisis,0.123
gracerachmany,0.123
existenialstoic,0.123
ethicraul,0.123
edapt,0.123
cpt_grog,0.123
robinwhitney,0.073
pimpmypeon,0.073
cryptonian_z,0.073
