Telegram Handle,Impact Hours
santigs67,345.961
zeptimusq,320.828
sembrestels,263.978
cranders71,215.905
akrtws,156.072
ygganderson,149.206
solsista,135.846
jessicazartler,119.803
juankbell,103.774
mateodaza,99.326
tonga2020,97.774
durgadasji,84.817
iviangita,77.117
mzargham,72.063
metaverde,68.717
liviade,61.843
griffgreen,61.664
manualzuru,61.465
freedumbs00,53.999
lkngtn,52.230
jeffemmett,49.089
naynaysoo,48.260
sgonzt,47.159
randomshinichi,41.948
vegayp,41.682
tannra,41.180
xgabi,40.597
danlessa,40.506
paulo_c2d,37.785
vitormarthendal,36.690
hbesso31,35.709
tam2140,34.923
wslyvh,33.861
markop,31.785
vntrp,31.781
sponnet2,30.568
daithic,30.503
blairv,29.190
knobsdao,28.324
loie_giveth,28.080
fiorebotta,28.018
niranb,27.739
willjgriff,26.952
quartagiulio,26.597
fabianvb,25.046
geleeroyale,24.996
burrrata,23.532
rodrigouy,23.530
merlinegalite,22.931
danibelle,22.008
aminlatifi,21.123
anjablaj,20.474
fvigevani,20.272
fabimol,20.115
elihanover,20.080
rubenrussel7,19.805
jonathanbsci,19.120
abchewey,19.058
gracerachmany,18.593
tylerdmace,17.626
benjaminscholtz,17.460
krrisis,17.366
rosamoc,15.462
dulcedu,14.927
fabiosmendes,14.875
marinam00,14.531
krisjones,13.771
jonassft,13.457
trentmc0,12.995
phil_h,12.478
d8n13l,12.464
vivszaid,12.028
simunstrukan,11.198
katalenacaban,10.841
ludo_lb,10.479
laurenluz,10.081
nikoline_nik,10.067
auryn_macmillan,9.884
atacas,9.672
aaron_soskin,9.639
felixfalafel,9.617
lbagic,8.958
juliet_myea,8.827
owocki,8.472
chuygarcia92,8.467
existenialstoic,8.454
crypt0dawg,8.292
heater03,7.788
freddbomba,7.299
aidanbrodieo,7.177
jakublanc,7.078
pacobacpac,7.031
rogervs,6.648
jameszaki,6.553
boring877,6.339
stephen_yo,6.262
xlcrr,6.160
shawn_westrick,5.892
gfriis,5.858
sepu85,5.486
tokenbrice,5.341
solarpunk_girl,5.300
rpp63,5.261
brutalfluffy,5.157
anthonyoliai,5.126
simondlr,5.120
chriscyber,5.116
glefevre,4.466
krisparuch,4.403
exiledsurfer,4.214
coachb,4.086
castall,4.031
willruddick,4.017
bierlingm,3.920
nukemandan,3.776
paxthemax,3.727
cpt_grog,3.599
alexholman,3.450
thelastjosh,3.310
katebee,3.216
staccop2p,3.205
pkk777,3.163
misterboyfriend,3.139
orishim,3.125
nelsonm,3.010
unquale,2.821
sbilbao,2.772
jamessimbouras,2.751
monstros1ty,2.736
ivanthinking,2.724
tech_digger,2.714
gcrewe,2.529
kristoferkristofer,2.516
antoniopaglino,2.383
wertuals,2.358
yalormewn,2.291
flakoubay,2.246
ferdinandrg,2.059
ubipromoter,2.059
lanski13,1.926
adriamb,1.847
smokyish,1.792
victorid,1.714
papa_raw,1.657
barnabemonnot,1.612
matslats,1.612
adaptdao,1.602
proofoftom,1.575
thebeautyway,1.547
hypereum,1.524
jasselnorm,1.524
wipabramson,1.524
shrutiappiah1,1.485
tze42,1.442
morgangr,1.434
luukweber,1.391
cyotee,1.360
gyalbo,1.321
jwaup,1.312
lalogarza,1.290
codersinblack,1.290
josevicente1,1.283
officialnico,1.276
petheth,1.260
witwiki3,1.231
renzod5,1.179
upaul,1.179
sergei_tran,1.172
macerer,1.139
vasileios_panagiotidis,1.137
maxsong123,1.106
revxzx,1.052
jodisattva,0.991
nyanncatt,0.991
tawhuac,0.991
viken33,0.987
tjayrush,0.963
davidhq,0.944
lescanor,0.934
jakubgregus,0.934
igorline,0.908
edapt,0.904
positonic,0.861
lescanore,0.861
santosthegreat,0.830
wunluv,0.822
blockchainberlin,0.806
johnkellden,0.797
monsterplayaus,0.797
cryptononymouseconomist,0.787
charingane,0.750
supernova_labs,0.739
fenjamin,0.736
decentralizesdgs,0.621
benjaminaaron,0.617
bradym,0.617
dazuck,0.617
eduadiez,0.617
erikbjare,0.617
jimbobbins,0.617
jamiepitts,0.617
wildpau,0.617
hanna_nevermind,0.614
freedumbs,0.580
mehigher,0.575
sethfork,0.569
mercedesrodsim,0.541
xqtstrategy,0.539
yangwao,0.513
felixfritsch,0.513
sanolution,0.508
meta_dreamer,0.454
quentin_hb,0.454
matiasbd,0.432
cemfd,0.432
seedsalchemist,0.366
chanate91,0.311
youngkidwarrior,0.270
edendh,0.267
econaut6,0.208
scupytrooples,0.123
paulsalis,0.123
ethicraul,0.123
gijsspoor,0.114
hubway,0.114
marveloushelper,0.112
hxrts,0.090
denissrgn,0.089
robinwhitney,0.073
pimpmypeon,0.073
cryptonian_z,0.073
asalemalawi,0.048
wolfofcurrency,0.038
llll79,0.028
burningfiat,0.025
immortaz,0.025
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
,0.000
