Telegram Handle,Impact Hours
sembrestels,105.133
akrtws,94.259
jessicazartler,73.223
santigs67,66.796
solsista,58.323
manualzuru,45.322
cranders71,44.926
lkngtn,38.825
jeffemmett,38.743
juankbell,35.409
vntrp,31.781
zeptimusq,28.171
loie_giveth,24.056
rodrigouy,23.530
blairv,21.588
xgabi,21.569
fvigevani,20.272
hbesso31,19.389
fiorebotta,18.615
willjgriff,18.615
daithic,18.034
quartagiulio,16.461
fabianvb,15.824
randomshinichi,15.773
d8n13l,12.464
jonassft,12.385
elihanover,12.309
paulo_c2d,12.183
ygg_anderson,12.106
dulcedu,11.442
mzargham,8.898
liviade,8.337
griffgreen,8.337
tonga2020,7.503
jakublanc,7.078
trentmc0,6.821
rubenrussel7,6.240
markop,5.982
phil_h,5.785
gracerachmany,5.704
vivszaid,5.485
geleeroyale,5.464
jameszaki,5.288
fabimol,5.039
abchewey,5.001
niranb,4.685
simondlr,4.607
krisparuch,4.403
rpp63,4.270
krrisis,4.243
anjablaj,3.635
tylerdmace,3.548
crypt0dawg,3.483
mateodaza,2.954
aidanbrodieo,2.794
benjaminscholtz,2.383
wertuals,2.358
gfriis,2.202
vitormarthendal,2.171
ivanthinking,2.066
bierlingm,2.013
sbilbao,1.985
danlessa,1.859
felixfalafel,1.817
sepu85,1.713
burrrata,1.708
simunstrukan,1.705
sgonzt,1.679
papa_raw,1.657
barnabemonnot,1.612
matslats,1.612
willruddick,1.612
orishim,1.601
juliet_myea,1.599
proofoftom,1.575
shrutiappiah1,1.485
jamessimbouras,1.485
petheth,1.260
lbagic,1.214
renzod5,1.179
upaul,1.179
viken33,0.987
atacas,0.984
davidhq,0.944
lescanor,0.934
jakubgregus,0.934
nikoline_nik,0.874
positonic,0.861
lescanore,0.861
santosthegreat,0.830
blockchainberlin,0.806
danibelle,0.739
supernova_labs,0.739
fenjamin,0.736
iviangita,0.729
tam2140,0.688
staccop2p,0.619
hanna_nevermind,0.614
anthonyoliai,0.614
existenialstoic,0.583
freedumbs,0.580
josevicente1,0.569
xlcrr,0.492
lanski13,0.484
luukweber,0.467
jonathanbsci,0.454
meta_dreamer,0.454
quentin_hb,0.454
aminlatifi,0.374
paxthemax,0.346
sponnet2,0.346
cpt_grog,0.316
codersinblack,0.299
krisjones,0.295
freddbomba,0.216
econaut6,0.208
wunluv,0.123
unquale,0.123
tokenbrice,0.123
scupytrooples,0.123
paulsalis,0.123
nelsonm,0.123
morgangr,0.123
misterboyfriend,0.123
merlinegalite,0.123
ethicraul,0.123
gijsspoor,0.114
hubway,0.114
hxrts,0.090
denissrgn,0.089
tjayrush,0.056
wolfofcurrency,0.038
llll79,0.028
witwiki3,0.028
burningfiat,0.025
immortaz,0.025
exiledsurfer,0.020
edapt,
robinwhitney,
pimpmypeon,
cryptonian_z,
